fecha_vigencia,tco_oficial_bob_usd
2026-06-29,9.734893673432268
2026-06-30,9.755335408984482
2026-07-01,9.756492170153434
2026-07-02,9.781674617070866
2026-07-03,9.795878108388585
2026-07-06,9.829217894160225
2026-07-07,9.887106349792925
2026-07-08,9.960968056018052
2026-07-09,10.104536646973058
2026-07-10,10.237818035068088
2026-07-13,10.398369962856226
2026-07-14,10.502928796316183
2026-07-15,10.697860900975009
2026-07-16,10.753494148722565
2026-07-20,10.850418432456001
2026-07-21,10.90265934016669
2026-07-22,11.004076213501062
2026-07-23,11.133805273309067
2026-07-24,11.210034680595905
2026-07-27,11.36573912248477
2026-07-28,11.53614985079028
2026-07-29,11.797332953993614
2026-07-30,11.886056185837614
2026-07-31,12.151826038506687
